Date (date),Country Name (country_name),ISO Alpha 3 Code (alpha_3_code),Country Code (country_code),Region Name (region_name),Region Code (region_code),Sub-Region Name (subregion_name),Sub Region Code (subregion_code),Harmonized System Code (hs_code),Commodity Name (commodity),Quantity unit (unit),Commodity quantity (value_qt),Quantity value (INR) (value_rs),Quantity value (USD) (value_dl)
"2025-09-01","Republic of Korea","KOR","410","Asia","142","Eastern Asia","30","10063012","Rice -Basmoti","Kgs",300,0,0
"2024-05-01","Maldives","MDV","462","Asia","142","Southern Asia","34","28152000","Potassium Hyproxide (Caustic Potash)","Kgs",1,0,0
"2025-08-01","Malaysia","MYS","458","Asia","142","South-eastern Asia","35","84661010","Tool Holders Of Any Type Of Tool Or Machine Tools For Working In The Hand","Nos",202,0.13,0.01
"2021-06-01","Maldives","MDV","462","Asia","142","Southern Asia","34","9083190","Other Cardamom; Neither Crushed Nor Ground","Kgs",0.38,5.44,0.01
"2024-07-01","Maldives","MDV","462","Asia","142","Southern Asia","34","70196100","Closed Woven Fabrics Of Rovings","Kgs",5280,0.04,0
"2019-04-01","Thailand","THA","764","Asia","142","South-eastern Asia","35","52054410","Grey","Kgs",49.12,130.24,0.19
"2025-03-01","Iraq","IRQ","368","Asia","142","Western Asia","145","84138130","Axial Flow And Mixed Flow Vertical Pump Designed Primarily For Handling Water","Nos",18,0.07,0.01
"2020-02-01","Oman","OMN","512","Asia","142","Western Asia","145","44191900","Other","Kgs",0.41,0.68,0
"2018-05-01","Nepal","NPL","524","Asia","142","Southern Asia","34","87031090","Othr Vhcl Fr Trvlng On Snow;Golf Car And","Nos",0.01,14.02,0.02
"2021-05-01","Turkiye","TUR","792","Asia","142","Western Asia","145","72286012","Bright Bars Of Other Alloy Stl","Kgs",51.13,87.15,0.12
"2019-02-01","Georgia","GEO","268","Asia","142","Western Asia","145","40111010","Radials Tyres Used On Motor Cars (Incl Station Wagons And Racing Cars)","Nos",1.58,39.7,0.06
"2020-07-01","Bangladesh","BGD","50","Asia","142","Southern Asia","34","56079090","Other Twine,Cordage,Rope And Cables","Kgs",0.09,2.41,0
"2019-05-01","Bhutan","BTN","64","Asia","142","Southern Asia","34","33061090","Other Dentrifrices","Kgs",3.58,1.55,0
"2024-12-01","Thailand","THA","764","Asia","142","South-eastern Asia","35","28311020","Sodium Sulphoxylate (Incl Sodium Formal- Dehde Sulphoxylate)","Kgs",32000,0.69,0.08
"2019-12-01","Bangladesh","BGD","50","Asia","142","Southern Asia","34","29339900","*Other Heterdcyclic Cmpnds With Nitrogen Hetro Atom (S) Only","Kgs",14.24,1353.99,1.9
"2019-06-01","Sri Lanka","LKA","144","Asia","142","Southern Asia","34","17019990","Othr Refnd Sugar Includng Centrifugal Sugr","Kgs",14902.38,3444.58,4.96
"2018-11-01","China","CHN","156","Asia","142","Eastern Asia","30","38210000","Prpd Cultr Media Fr Micro-Orgnsms Dvlpmnt","Kgs",0.68,24.04,0.03
"2018-04-01","Philippines","PHL","608","Asia","142","South-eastern Asia","35","9109990","Other Spices, Nes","Kgs",6.17,7.23,0.01
"2024-06-01","Sri Lanka","LKA","144","Asia","142","Southern Asia","34","15131900","Coconut (Copra) Refined Oil And Fractions","Kgs",251000,3.44,0.41
"2020-12-01","Saudi Arabia","SAU","682","Asia","142","Western Asia","145","62042300","Ensembles Of Synthetic Fibres","Nos",4.21,14.95,0.02
"2021-01-01","Republic of Korea","KOR","410","Asia","142","Eastern Asia","30","62081990","Slips, Peticoats Of Othr Txtl Mtrl","Nos",0,0.06,""
"2015-09-01","Singapore","SGP","702","Asia","142","South-eastern Asia","35","52084150","Furnishing Cloth Other Than Pile And Chenille Fabrics","Sqm",0.2,0.26,0
"2021-07-01","Bhutan","BTN","64","Asia","142","Southern Asia","34","28470000","Hydrogen Peroxide W/N Solidified With Urea","Kgs",0.01,0.05,""
"2019-11-01","Cyprus","CYP","196","Asia","142","Western Asia","145","42023190","Others","Nos",1.34,3.58,0.01
"2017-01-01","Myanmar","MMR","104","Asia","142","South-eastern Asia","35","84212120","Household Type Filters","Nos",0.2,2.52,0
"2017-03-01","Oman","OMN","512","Asia","142","Western Asia","145","33029090","Other Mixtrs Of Odorifrs Substns N.E.S.","Kgs",5.61,83.06,0.13
